,id,SubhaloHalfmassRad_xyTotal,SubhaloHalfmassRad_xzTotal,SubhaloHalfmassRad_yzTotal,SubhaloVelDispReProjectedStellarTotal,SubhaloVelDisp3D_Stellar_Re_Total,SubhaloVelDisp3D_Stellar_Total,SubhaloVelDisp3D_Gas_Total,SubhaloVelDisp3D_DM_Total
863,443175,1.656301278,1.736925736,1.512616513,97.19285652,166.9968355,161.4851677,163.2244621,200.5520399
864,443249,2.410407754,2.518411446,2.813834926,123.7324174,214.2910912,205.0378989,207.1878047,260.061567
865,443356,4.887821583,7.544527124,7.214126759,118.0763671,210.9765898,222.4282498,232.2859294,280.2363693
866,443421,2.646582175,2.626033141,2.52085967,127.7579188,223.7370648,217.5914489,226.6388386,261.4339933
867,443498,2.985594801,2.060610387,2.699354029,134.6062108,230.4948536,220.0690515,220.9347486,273.5372824
868,443587,3.623023035,4.222500948,3.993953492,128.1346441,218.2128109,214.3969188,233.630088,286.5531626
869,443683,4.513490157,3.308185191,3.797430609,132.3907434,236.1145435,234.7601778,244.4038861,294.3261874
870,443746,5.052484753,3.457872829,3.58166638,129.1287872,231.1378368,232.3293752,184.6234692,295.477697
871,443801,1.261602753,1.3222514,1.262426033,118.5331158,205.6860878,212.0690262,58.17500216,269.3581945
872,443914,2.945987747,3.093130452,2.404104049,103.9717359,189.5648017,197.5861219,200.8600007,229.1644062
873,444067,4.217886818,5.13026323,4.50239974,65.80067085,116.3169557,130.8824359,153.6140834,191.9273742
874,444184,3.805878,5.741225359,3.858083953,123.0405165,227.7336127,240.5535742,263.7356504,319.600366
875,444251,3.037928133,2.533872699,2.264096829,70.65333638,126.0374581,129.2756604,144.3360416,205.9341825
876,444340,1.148678678,1.473058112,1.475663537,119.9426625,213.2647187,211.871472,208.9319555,247.898475
877,444442,1.186014485,1.245143522,1.3197428,103.9281464,181.068543,177.6749297,168.6383257,228.540971
878,444545,3.373770288,2.856250005,3.299972313,126.743228,219.0043766,216.4239451,197.5780472,290.4891639
879,444631,2.974434332,1.790005624,2.71969839,120.1193101,210.1424357,217.743959,236.6210717,288.4759831
880,444728,2.038152847,1.681858687,1.812784503,108.1923517,190.0164583,191.4893783,200.4129797,240.1756166
881,444834,4.682312278,5.239030338,3.569872528,80.76085361,146.0266946,159.1546883,175.7600426,212.6947498
882,444929,2.817517261,2.85419329,3.687117495,127.1917037,224.9543518,227.4928668,240.5591172,286.5178528
883,444997,1.573824396,1.818088855,2.344500133,116.2814255,206.3254428,201.8782282,166.3900564,259.7862029
884,445092,3.708201586,4.424398366,3.336306176,129.3835,232.9099159,238.6249797,228.1451305,299.9674385
885,445185,3.632303028,3.493236371,4.437414704,94.17860906,163.9134355,165.8573441,188.0546751,228.7437418
886,445271,6.048615319,3.983397179,5.203950331,131.8607694,241.6515928,245.1627443,257.9997892,298.5130044
887,445342,2.544547273,2.316853312,2.304249131,123.551846,214.7642709,215.6439272,232.8647891,283.1341976
888,445420,2.676381062,3.54135762,3.584274141,125.8826713,223.5600848,230.0074328,238.1954184,299.2406901
889,445515,3.801389764,3.229960444,3.996449937,137.3923945,240.5251615,238.9180052,226.3484375,308.1117036
890,445567,5.410880595,8.05621147,5.915892287,92.78762395,167.4764402,180.899705,200.6488139,237.8654392
891,445658,2.560303228,2.595343115,2.181248099,135.4275071,232.8660976,217.6878614,230.6935207,266.4469682
892,445753,1.916819084,1.790844202,1.577550048,131.2475941,227.4757243,216.3452401,210.285793,266.3721373
893,445878,3.084168262,3.150964733,3.596604217,115.1968442,200.9706769,202.6348578,225.2989606,271.8987942
894,445939,4.552049916,3.156861524,4.043262525,125.0893813,225.1318853,233.993171,162.0046358,309.1069335
895,446011,0.978428212,1.028199456,1.099576694,104.2247439,181.6278089,178.6562071,170.1032004,225.481438
896,446112,2.884145007,2.649819658,4.423686699,133.5520967,244.7724409,248.2612535,256.3682543,306.1812613
897,446172,1.429417416,1.451704753,1.660065559,105.2868923,181.0559556,194.6139839,211.9487528,279.9384511
898,446253,3.087293284,3.597231631,4.317377605,120.964152,211.333356,202.5980435,219.061454,259.4935656
899,446330,3.82938172,4.761604409,5.407862219,101.6673686,179.4951401,186.846133,211.7211101,247.4312874
900,446449,3.035765331,3.400056634,5.022705436,83.44473865,153.8745595,168.1171426,178.1993995,226.6378093
901,446548,3.258932805,3.145007726,2.726415316,94.23666821,167.2702138,173.9719543,188.4843446,221.7459017
902,446612,2.996229603,3.21788188,2.257254739,84.80601585,151.8248069,156.568958,152.7948483,235.1423892
903,446682,1.864255064,1.600310493,1.072774943,104.7481212,193.2146735,199.7347498,191.3649136,245.721242
904,446786,1.381021745,1.412502887,1.369745886,110.7409435,192.3054108,223.4554777,210.1852572,258.490819
905,446937,2.631031457,3.231675385,2.820631697,121.0226748,208.1664009,199.9227575,203.9974726,259.9008793
906,447042,3.736995764,4.61122337,4.618321277,118.0364568,206.3623904,205.310216,214.693278,264.3213125
907,447153,1.974587951,1.780643828,1.904410544,122.9073938,212.6632751,216.2164262,236.543275,288.7129437
908,447236,2.01952255,1.883960949,1.045471272,109.7349186,195.4974617,195.6056962,207.9206688,241.8774996
909,447350,1.693903933,1.450919386,1.630168065,108.4231461,193.5983838,198.0487159,198.6096015,250.7395808
910,447433,4.282647517,4.394244762,4.610742564,97.13383337,171.5487347,179.294584,180.07814,239.8271525
911,447532,1.777112614,2.661711444,2.644733053,121.9596782,214.1738171,216.0327925,224.301977,278.593778
912,447606,4.780757994,5.132393179,4.602979938,134.6699675,240.5408022,238.2366503,247.4125256,280.525299
913,447695,1.352720683,1.24408167,1.245743806,109.1131338,193.8503458,194.6910228,189.3382446,236.7720379
914,447767,4.387970882,5.620551211,4.1618524,120.4268123,211.7381917,208.5604257,215.0448594,270.4901822
915,447886,1.641491877,1.443432744,1.438623569,122.0040784,209.6154197,198.871122,212.2479692,262.4715907
916,448021,5.567358211,4.065013674,3.473520149,114.5793787,214.0866885,226.0272287,265.0479887,288.7588596
917,448111,5.480734628,5.888752257,4.789242216,114.1918101,200.4791992,200.1763534,205.687878,259.9101602
918,448196,4.868843488,3.757077099,5.067859062,137.8295831,238.6332939,225.9085993,211.6778002,281.6955454
919,448269,2.972880776,2.340291038,2.734958712,110.1851197,196.1188787,202.057017,211.8256222,265.377946
920,448371,2.993357357,3.458847855,4.074620445,100.0540461,179.4215874,186.4985692,203.7271557,244.31769
921,448447,3.206188555,2.489791469,3.171940781,123.7680927,219.1734369,224.6131659,155.5325008,296.0328096
922,448525,4.173738289,3.188756847,4.640880967,93.20551366,164.7728472,172.179175,199.3514504,236.5364165
923,448642,2.372465197,2.172739946,2.840952934,119.1088747,211.0089128,210.7887019,211.1175661,264.855058
924,448732,4.189375609,3.743768491,3.111359109,87.19728605,152.8022998,167.2088403,184.5925006,227.8434473
925,448840,1.339346742,1.990860687,1.984814233,109.8184827,197.0334795,199.8171838,201.5247684,244.0699742
926,448928,1.261780448,1.900785266,1.810321239,127.400169,219.2142434,211.4809981,162.6861466,254.2836814
927,449034,3.418949733,2.379570927,2.83902669,143.9819751,251.3370433,242.868688,162.0515244,293.2170427
928,449099,4.323355811,3.792310377,4.243219786,122.4007789,210.9509775,201.560362,220.5678806,252.0800008
929,449201,2.800687348,3.82689098,3.598751978,117.9443736,211.7538186,221.3985801,247.2527674,293.9852329
930,449267,4.184280433,3.371956589,5.44776731,115.7595549,210.116664,215.9833634,234.6026165,267.3790562
931,449361,0.977039837,1.601673135,1.504052399,109.51881,192.8758116,190.671758,176.413358,243.4759688
932,449465,4.305842895,5.458793882,3.32927358,111.7649502,206.3593936,218.0220279,226.9149023,292.1945699
933,449549,6.032582092,4.154817096,4.312473329,132.5888237,233.6659829,227.8425559,222.8698556,283.7397549
934,449651,6.237382029,7.322895446,4.860192704,112.8446813,204.0289635,209.6276548,226.9145199,274.0642402
935,449733,4.214628962,5.066848835,5.520407626,103.2374341,181.3654386,195.1714243,182.8444041,251.0300439
936,449846,5.455805587,4.563296454,4.570483414,125.350236,220.5713743,222.1951072,239.9570854,281.5399058
