catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class
487113,222.9860903,-1.5576122,222.9860903,-1.5576122,16.583,16.542,0.10048,0.09971,-21.88,6.97,22.31,24.03,25.57,0.1385,19.290009,10.91,1.33,0.197,4,1
185622,181.0844443,-1.53027621,181.0844443,-1.53027621,15.867,16.853,0.0067,0.00488,-15.47,43.81,27.89,29.61,31.15,0.2915,72.95001,7.87,0.54,0.087,8,0
279944,140.1328541,1.02917132,140.1328541,1.02917132,16.819,16.687,0.08876,0.08759,-21.46,2.25,19.69,21.41,22.95,0.4415,85.649994,10.69,1.24,0.113,3,0
145037,182.5066901,-1.25472567,182.5066901,-1.25472567,16.812,16.817,0.06145,0.06019,-20.46,2.32,19.44,21.16,22.7,0.6145,159.08,10.32,1.23,0.083,3,0
14696,212.6344474,0.63652793,212.6344474,0.63652793,15.886,15.802,0.10641,0.10545,-22.79,8.5,22.03,23.75,25.29,0.0299,60.789993,11.32,1.41,0.143,4,0
48576,217.6867496,-0.79862217,217.6867496,-0.79862217,16.623,16.527,0.03591,0.03509,-19.47,2.32,20.02,21.74,23.28,0.1803,139.03,9.65,0.81,0.173,8,0
107280,219.2749567,0.88835687,219.2749567,0.88835687,17.418,17.352,0.07874,0.07792,-20.49,2.75,21.36,23.08,24.62,0.0481,109.979996,10.3,1.21,0.148,3,0
609329,175.1454383,0.28107706,175.1454383,0.28107706,16.548,16.419,0.10715,0.10581,-22.2,2.96,20.33,22.06,23.6,0.311,152.18,11.04,1.36,0.102,4,0
549170,130.6572264,-0.62171748,130.6572264,-0.62171748,17.156,14.651,0.10958,0.1085,-23.88,4.36,21.71,23.43,24.98,0.1898,88.099976,11.76,1.1,0.101,4,0
7970,180.0350123,0.67714968,180.0350123,0.67714968,17.767,17.229,0.089,0.0877,-20.93,1.75,20.69,22.42,23.96,0.1429,70.14,10.6,1.39,0.091,3,0
93384,220.2659352,0.61945805,220.2659352,0.61945805,16.636,17.426,0.01072,0.00937,-15.87,11.27,25.22,26.95,28.49,0.418,176.04999,8.05,0.59,0.172,8,0
402759,177.0880277,1.95532363,177.0880277,1.95532363,16.468,16.475,0.09586,0.09455,-21.87,6.15,22.08,23.81,25.35,0.1018,73.75,10.91,1.34,0.114,4,0
513275,222.8805422,-0.99607348,222.8805422,-0.99607348,16.653,16.615,0.11088,0.1101,-22.06,4.71,21.69,23.42,24.96,0.1543,45.14,10.94,1.31,0.162,4,0
543857,213.1139877,-0.85378924,213.1139877,-0.85378924,16.882,16.884,0.0333,0.03241,-18.96,8.04,22.76,24.5,26.04,0.2531,121.22,9.56,0.97,0.201,8,0
136847,176.3126389,-1.70276387,176.3126389,-1.70276387,14.152,14.161,0.02907,0.02782,-21.39,6.8,19.68,21.41,22.96,0.2829,45.410004,10.65,1.1,0.064,8,0
143287,175.1574083,-1.35142332,175.1574083,-1.35142332,16.077,16.022,0.04689,0.04562,-20.62,9.24,21.71,23.45,24.99,0.4938,38.829987,10.33,1.12,0.062,8,0
402421,175.107413,1.98492758,175.107413,1.98492758,15.694,15.624,0.0761,0.0748,-22.18,14.46,22.43,24.17,25.71,0.348,62.979996,11.07,1.33,0.095,8,0
273546,184.0837334,1.27887481,184.0837334,1.27887481,16.228,16.137,0.07584,0.07458,-21.62,3.79,20.18,21.92,23.46,0.4707,116.68,10.76,1.21,0.082,3,0
279910,139.8552305,1.05979042,139.8552305,1.05979042,15.973,15.912,0.08802,0.08685,-22.22,2.88,19.66,21.41,22.95,0.304,137.24,11.01,1.27,0.095,8,0
214855,131.9604752,0.59846904,131.9604752,0.59846904,18.614,17.229,0.11124,0.11015,-21.51,42.62,26.03,27.77,29.31,0.7005,27.790009,11.25,1.8,0.168,4,1
30470,175.4207108,-1.20901814,175.4207108,-1.20901814,16.826,16.652,0.07915,0.07784,-21.23,5.68,21.7,23.45,24.99,0.1892,53,10.67,1.31,0.071,3,0
202480,129.9293223,-0.33696963,129.9293223,-0.33696963,16.108,15.9,0.05303,0.05202,-21.03,4.24,20.52,22.28,23.82,0.3106,100.19,10.56,1.21,0.111,8,0
517279,131.6803687,2.53922464,131.6803687,2.53922464,15.188,15.449,0.02976,0.02876,-20.18,9.51,21.73,23.48,25.02,0.0759,16.690002,10.36,1.33,0.175,8,0
218688,139.6074876,0.84955163,139.6074876,0.84955163,17.453,17.445,0.08812,0.08695,-20.67,1.12,19.46,21.22,22.76,0.0873,157.45,10.32,1.11,0.096,3,0
137206,177.4766322,-1.64355984,177.4766322,-1.64355984,16.631,16.615,0.08443,0.08312,-21.4,5.39,21.66,23.42,24.96,0.2849,4.7099915,10.76,1.33,0.084,3,0
137074,176.9604789,-1.72795492,176.9604789,-1.72795492,16.956,16.885,0.08439,0.08308,-21.12,2.61,20.32,22.08,23.62,0.3453,80.34,10.63,1.33,0.066,3,0
238205,213.6088836,1.77008963,213.6088836,1.77008963,17.808,18.184,0.05557,0.05467,-18.78,2.4,21.76,23.52,25.06,0.0972,159.28,9.55,1.04,0.205,3,1
491960,214.1982673,-1.34911657,214.1982673,-1.34911657,15.13,15.139,0.05016,0.04927,-21.65,7.47,20.91,22.68,24.22,0.2893,92.14,10.71,1.07,0.17,8,0
493538,221.5149454,-1.2003341,221.5149454,-1.2003341,17.654,17.303,0.05033,0.04956,-19.56,124.09,26.43,28.21,29.74,0.7656,176.70999,10.1,1.23,0.18,8,1
